"from","to","weight"
"a Casino Boss","a Drunken Gambler",1
"a Casino Boss","a Tourist",1
"a Casino Boss","Blackjack Dealer",1
"a Casino Boss","Chandler",1
"a Casino Boss","Drunken Gambler",1
"a Casino Boss","Guy",1
"a Casino Boss","Joey",1
"a Casino Boss","Joey's Hand Twin",1
"a Casino Boss","Monica",1
"a Casino Boss","New Scene",1
"a Casino Boss","Phoebe",1
"a Casino Boss","Rachel",1
"a Casino Boss","Ross",1
"a Casino Boss","The Croupier",1
"a Casino Boss","The Lurker",1
"a Casino Boss","The Security Guard",1
"a Casino Boss","The Woman Dealer",1
"a Crew Member","a Student",1
"a Crew Member","Alex",1
"a Crew Member","Casting Director #1",1
"a Crew Member","Casting Director #2",1
"a Crew Member","Casting Director #3",1
"a Crew Member","Chandler",1
"a Crew Member","Estelle",1
"a Crew Member","Joey",1
"a Crew Member","Monica",1
"a Crew Member","New Scene",1
"a Crew Member","Phoebe",1
"a Crew Member","Rachel",1
"a Crew Member","Ross",1
"a Crew Member","Russell",1
"a Crew Member","The Director",1
"a Crew Member","The Professor",1
"a Disembodied Voice","Chandler",1
"a Disembodied Voice","Joey",1
"a Disembodied Voice","Monica",1
"a Disembodied Voice","New Scene",1
"a Disembodied Voice","Phoebe",1
"a Disembodied Voice","Rachel",1
"a Disembodied Voice","Ross",1
"a Disembodied Voice","Smoke Detector",1
"a Disembodied Voice","Tag",1
"a Disembodied Voice","The Fireman",1
"a Drunken Gambler","a Tourist",1
"a Drunken Gambler","Blackjack Dealer",1
"a Drunken Gambler","Chandler",1
"a Drunken Gambler","Drunken Gambler",1
"a Drunken Gambler","Guy",1
"a Drunken Gambler","Joey",1
"a Drunken Gambler","Joey's Hand Twin",1
"a Drunken Gambler","Monica",1
"a Drunken Gambler","New Scene",1
"a Drunken Gambler","Phoebe",1
"a Drunken Gambler","Rachel",1
"a Drunken Gambler","Ross",1
"a Drunken Gambler","The Croupier",1
"a Drunken Gambler","The Lurker",1
"a Drunken Gambler","The Security Guard",1
"a Drunken Gambler","The Woman Dealer",1
"a Female Student","Chandler",1
"a Female Student","Cynthia",1
"a Female Student","Dr. Leedbetter",1
"a Female Student","Joey",1
"a Female Student","Monica",1
"a Female Student","New Scene",1
"a Female Student","Phoebe",1
"a Female Student","Rachel",1
"a Female Student","Ross",1
"a Female Student","The Teacher",1
"a Male Customer","Chandler",1
"a Male Customer","Customer",1
"a Male Customer","Gunther",1
"a Male Customer","Jill",1
"a Male Customer","Joey",1
"a Male Customer","Monica",1
"a Male Customer","New Scene",1
"a Male Customer","Phoebe",1
"a Male Customer","Rachel",1
"a Male Customer","Ross",1
"a Male Customer","Woman",1
"a Student","Alex",1
"a Student","Casting Director #1",1
"a Student","Casting Director #2",1
"a Student","Casting Director #3",1
"a Student","Chandler",1
"a Student","Estelle",1
"a Student","Joey",1
"a Student","Monica",1
"a Student","New Scene",1
"a Student","Phoebe",1
"a Student","Rachel",1
"a Student","Ross",1
"a Student","Russell",1
"a Student","The Director",1
"a Student","The Professor",1
"a Tourist","Blackjack Dealer",1
"a Tourist","Chandler",1
"a Tourist","Drunken Gambler",1
"a Tourist","Guy",1
"a Tourist","Joey",1
"a Tourist","Joey's Hand Twin",1
"a Tourist","Monica",1
"a Tourist","New Scene",1
"a Tourist","Phoebe",1
"a Tourist","Rachel",1
"a Tourist","Ross",1
"a Tourist","The Croupier",1
"a Tourist","The Lurker",1
"a Tourist","The Security Guard",1
"a Tourist","The Woman Dealer",1
"a Waiter","Chandler",1
"a Waiter","Drew",1
"a Waiter","Joey",1
"a Waiter","Kitchen Worker",1
"a Waiter","Mike",1
"a Waiter","Monica",1
"a Waiter","New Scene",1
"a Waiter","Phoebe",1
"a Waiter","Rachel",1
"a Waiter","Ross",1
"a Waiter","The Conductor",1
"a Waiter","The Waiter",1
"a Waiter","Woman on Train",1
"a Waiter in Drag","Announcer",1
"a Waiter in Drag","Chandler",1
"a Waiter in Drag","Guy",1
"a Waiter in Drag","Helena",1
"a Waiter in Drag","Jake",1
"a Waiter in Drag","Joey",1
"a Waiter in Drag","Man",1
"a Waiter in Drag","Monica",1
"a Waiter in Drag","New Scene",1
"a Waiter in Drag","Phoebe",1
"a Waiter in Drag","Policeman",1
"a Waiter in Drag","Rachel",1
"a Waiter in Drag","Ross",1
"a Waiter in Drag","The Chorus Line",1
"a Waiter in Drag","Waiter in Drag",1
"a Waiter in Drag","Waitress",1
"a Waiter in Drag","Woman",1
"a Woman","Chandler",1
"a Woman","Joey",1
"a Woman","Kristen",1
"a Woman","Megan",1
"a Woman","Monica",1
"a Woman","New Scene",1
"a Woman","Phoebe",1
"a Woman","Rachel",1
"a Woman","Ross",1
"a Woman","The Woman",1
"a Woman","We Have 8",1
"a Woman","Woman",1
"Actor","Chandler",1
"Actor","Dr. Baldhara",1
"Actor","Fake Monica",1
"Actor","Joey",1
"Actor","Monica",1
"Actor","New Scene",1
"Actor","Pa",1
"Actor","Phoebe",1
"Actor","Rachel",1
"Actor","Ross",1
"Actor","Teacher",1
"Actor","Woman",1
"Adoption Agency Guy","Agency Guy",1
"Adoption Agency Guy","Chandler",1
"Adoption Agency Guy","Erica",1
"Adoption Agency Guy","Girl",1
"Adoption Agency Guy","Joey",1
"Adoption Agency Guy","Monica",1
"Adoption Agency Guy","New Scene",1
"Adoption Agency Guy","Phoebe",1
"Adoption Agency Guy","Rachel",1
"Adoption Agency Guy","Ross",1
"Adoption Agency Guy","Sarah",1
"Adoption Agency Guy","Waiter",1
"Adrienne","Chandler",1
"Adrienne","Donny",1
"Adrienne","Donny Osmond",1
"Adrienne","Gene",1
"Adrienne","Henrietta",1
"Adrienne","Joey",1
"Adrienne","Man",1
"Adrienne","Missy",1
"Adrienne","Monica",1
"Adrienne","New Scene",1
"Adrienne","Phoebe",1
"Adrienne","Pizza Guy",1
"Adrienne","Rachel",1
"Adrienne","Ross",1
"Adrienne","Roy",1
"Adrienne","Stage Manager",1
"Adrienne","Voice",1
"Agency Guy","Chandler",1
"Agency Guy","Erica",1
"Agency Guy","Girl",1
"Agency Guy","Joey",1
"Agency Guy","Monica",1
"Agency Guy","New Scene",1
"Agency Guy","Phoebe",1
"Agency Guy","Rachel",1
"Agency Guy","Ross",1
"Agency Guy","Sarah",1
"Agency Guy","Waiter",1
"Air Stewardess","Chandler",1
"Air Stewardess","Doctor",1
"Air Stewardess","Erica",1
"Air Stewardess","Gunther",1
"Air Stewardess","Joey",1
"Air Stewardess","Man",1
"Air Stewardess","Mike",1
"Air Stewardess","Monica",1
"Air Stewardess","New Scene",1
"Air Stewardess","Nurse",1
"Air Stewardess","Passenger #1",1
"Air Stewardess","Passenger #2",1
"Air Stewardess","Passenger #3",1
"Air Stewardess","Phoebe",1
"Air Stewardess","Rachel",1
"Air Stewardess","Ross",1
"Air Stewardess","Ticket Agent",1
"Airline Employee","Chandler",1
"Airline Employee","Dr. Long",1
"Airline Employee","Front Desk Clerk",1
"Airline Employee","Joey",1
"Airline Employee","Man",1
"Airline Employee","Monica",1
"Airline Employee","Mr. Treeger",1
"Airline Employee","New Scene",1
"Airline Employee","Nurse",1
"Airline Employee","Phoebe",1
"Airline Employee","Rachel",1
"Airline Employee","Ross",1
"Airline Employee","Ticket Agent",1
"Airline Employee","Woman",1
"Alan","Chandler",1
"Alan","Joey",1
"Alan","Lizzie",1
"Alan","Monica",1
"Alan","New Scene",1
"Alan","Paula",1
"Alan","Phoebe",1
"Alan","Rachel",1
"Alan","Ross",1
"Alan","The Guys",1
"Alex","Casting Director #1",1
"Alex","Casting Director #2",1
"Alex","Casting Director #3",1
"Alex","Chandler",1
"Alex","Estelle",1
"Alex","Joey",1
"Alex","Monica",1
"Alex","New Scene",1
"Alex","Phoebe",1
"Alex","Rachel",1
"Alex","Ross",1
"Alex","Russell",1
"Alex","The Director",1
"Alex","The Professor",1
"Alexandra Steele","Chandler",1
"Alexandra Steele","Charlie",1
"Alexandra Steele","David",1
"Alexandra Steele","Homo Ergaster",1
"Alexandra Steele","Joey",1
"Alexandra Steele","Man with a Bow Tie",1
"Alexandra Steele","Mike",1
"Alexandra Steele","Monica",1
"Alexandra Steele","Mr. Oberblau",1
"Alexandra Steele","New Scene",1
"Alexandra Steele","Paleontologist",1
"Alexandra Steele","Phoebe",1
"Alexandra Steele","Professore Clerk",1
"Alexandra Steele","Rachel",1
"Alexandra Steele","Ross",1
"Alexandra Steele","Sarah",1
"Alexandra Steele","Waiter",1
"Alexandra Steele","Woman",1
"Alice","Another Scientist",1
"Alice","Another Tour Guide",1
"Alice","Carol",1
"Alice","Chandler",6
"Alice","Dan",1
"Alice","Dr. Harad",1
"Alice","Dr. Oberman",1
"Alice","Dr. Zane",1
"Alice","Emily",2
"Alice","Employee",1
"Alice","Frank",5
"Alice","Gunther",1
"Alice","Hypnosis Tape",1
"Alice","Joey",6
"Alice","Joey's Doctor",1
"Alice","Joshua",1
"Alice","Kathy",1
"Alice","Monica",6
"Alice","Mr. Burgin",1
"Alice","Mr. Treeger",1
"Alice","Mrs. Burgin",1
"Alice","New Scene",6
"Alice","Nurse",1
"Alice","Older Scientist",1
"Alice","Pete",1
"Alice","Phoebe",6
"Alice","Phoebe Sr",1
"Alice","Rachel",6
"Alice","Ross",6
"Alice","Secretary",1
"Alice","Smart Kid",1
"Alice","Susan",1
"Alice","The Doctor",1
"Alice","The Girls",1
"Alice","Ticket Agent",1
"Alice","Tour Guide",1
"Alice","Walker",1
"Alison","Chandler",1
"Alison","Janice",1
"Alison","Joey",1
"Alison","Monica",1
"Alison","Mr. Boyle",1
"Alison","Mr. Heckles",1
"Alison","Mr. Treeger",1
"Alison","Phoebe",1
"Alison","Rachel",1
"Alison","Ross",1
"Amanda","Assistant",1
"Amanda","Chandler",2
"Amanda","Gunther",1
"Amanda","Joey",2
"Amanda","Josh",1
"Amanda","Kathy",1
"Amanda","Monica",2
"Amanda","New Scene",2
"Amanda","Phoebe",2
"Amanda","Rachel",2
"Amanda","Ross",2
"Amber","Amger",1
"Amber","Chandler",1
"Amber","Delivery Guy",1
"Amber","Dr Horton",1
"Amber","Dr. Horton",1
"Amber","Dr. Remore",1
"Amber","Eddie",1
"Amber","Intercom",1
"Amber","Joey",1
"Amber","Monica",1
"Amber","New Scene",1
"Amber","Phoebe",1
"Amber","Rachel",1
"Amber","Richard",1
"Amber","Ross",1
"Amber","Tilly",1
"Amber","Writer",1
"Amger","Chandler",1
"Amger","Delivery Guy",1
"Amger","Dr Horton",1
"Amger","Dr. Horton",1
"Amger","Dr. Remore",1
"Amger","Eddie",1
"Amger","Intercom",1
"Amger","Joey",1
"Amger","Monica",1
"Amger","New Scene",1
"Amger","Phoebe",1
"Amger","Rachel",1
"Amger","Richard",1
"Amger","Ross",1
"Amger","Tilly",1
"Amger","Writer",1
"Amy","Amy Storms Out",1
"Amy","Announcer",1
"Amy","Chandler",2
"Amy","Charlie",1
"Amy","Joey",2
"Amy","Joey Laughs",1
"Amy","Joey Nods",1
"Amy","Mike",1
"Amy","Monica",2
"Amy","New Scene",2
"Amy","Phoebe",2
"Amy","Rachel",2
"Amy","Ross",2
"Amy","Tv Announcer",1
"Amy","Woman at Door",1
"Amy Storms Out","Chandler",1
"Amy Storms Out","Joey",1
"Amy Storms Out","Joey Laughs",1
"Amy Storms Out","Joey Nods",1
"Amy Storms Out","Monica",1
"Amy Storms Out","New Scene",1
"Amy Storms Out","Phoebe",1
"Amy Storms Out","Rachel",1
"Amy Storms Out","Ross",1
"Amy Storms Out","Tv Announcer",1
"Amy Storms Out","Woman at Door",1
"Anchorwoman","Chandler",1
"Anchorwoman","Gunther",1
"Anchorwoman","Joey",1
"Anchorwoman","Monica",1
"Anchorwoman","New Scene",1
"Anchorwoman","Pete",1
"Anchorwoman","Phoebe",1
"Anchorwoman","Rachel",1
"Anchorwoman","Ross",1
"Andrea","Aunt Lillian",1
"Andrea","Chandler",1
"Andrea","Joey",1
"Andrea","Lowell",1
"Andrea","Monica",1
"Andrea","Mr. Geller",1
"Andrea","Mrs. Geller",1
"Andrea","New Scene",1
"Andrea","Nurse",1
"Andrea","Phoebe",1
"Andrea","Rachel",1
"Andrea","Ross",1
"Andrea","Shelley",1
"Angela","Bob",1
"Angela","Chandler",1
"Angela","Janice",1
"Angela","Joey",1
"Angela","Monica",1
"Angela","New Scene",1
"Angela","Phoebe",1
"Angela","Rachel",1
"Angela","Ross",1
"Angela","Woman",1
"Annabelle","Carol",1
"Annabelle","Chandler",1
"Annabelle","Customer",1
"Annabelle","Guy",1
"Annabelle","Hombre Man",1
"Annabelle","Joey",1
"Annabelle","Julie",1
"Annabelle","Monica",1
"Annabelle","New Scene",1
"Annabelle","Phoebe",1
"Annabelle","Rachel",1
"Annabelle","Ross",1
"Annabelle","Store Guy",1
"Annabelle","Susan",1
"Announcer","Billy Crystal",1
"Announcer","Bonnie",1
"Announcer","Chandler",4
"Announcer","Charlie",1
"Announcer","Doug",1
"Announcer","Guy",1
"Announcer","Helena",1
"Announcer","Hoshi",1
"Announcer","Jake",2
"Announcer","Jessica Ashley",1
"Announcer","Joey",4
"Announcer","Lewis",1
"Announcer","Man",1
"Announcer","Mike",1
"Announcer","Monica",4
"Announcer","Morse",1
"Announcer","New Scene",4
"Announcer","Pete",1
"Announcer","Phil",1
"Announcer","Phoebe",4
"Announcer","Policeman",1
"Announcer","Rachel",4
"Announcer","Referee",1
"Announcer","Robin Williams",1
"Announcer","Ross",4
"Announcer","Stevens",1
"Announcer","The Chorus Line",1
"Announcer","The Cute Guy",1
"Announcer","The Guys",1
"Announcer","The Presenter",1
"Announcer","Tv Announcer",1
"Announcer","Waiter in Drag",1
"Announcer","Waitress",1
"Announcer","Woman",1
"Another Extra","Chandler",1
"Another Extra","Director",1
"Another Extra","Extra",1
"Another Extra","Gavin",1
"Another Extra","Guy",1
"Another Extra","Interviewer",1
"Another Extra","Joey",1
"Another Extra","Man",1
"Another Extra","Monica",1
"Another Extra","Mr. Zelner",1
"Another Extra","New Scene",1
"Another Extra","Phoebe",1
"Another Extra","Rachel",1
"Another Extra","Ross",1
"Another Man's Voice","Chandler",1
"Another Man's Voice","Gunther",1
"Another Man's Voice","Jill",1
"Another Man's Voice","Joey",1
"Another Man's Voice","Man's Voice",1
"Another Man's Voice","Monica",1
"Another Man's Voice","New Scene",1
"Another Man's Voice","Phoebe",1
"Another Man's Voice","Rachel",1
"Another Man's Voice","Ross",1
"Another Man's Voice","Same Man's Voice",1
"Another Man's Voice","The Fan",1
"Another Man's Voice","The Vampire",1
"Another Man's Voice","Ursula",1
"Another Scientist","Another Tour Guide",1
"Another Scientist","Chandler",1
"Another Scientist","Frank",1
"Another Scientist","Joey",1
"Another Scientist","Kathy",1
"Another Scientist","Monica",1
"Another Scientist","New Scene",1
"Another Scientist","Older Scientist",1
"Another Scientist","Phoebe",1
"Another Scientist","Phoebe Sr",1
"Another Scientist","Rachel",1
"Another Scientist","Ross",1
"Another Scientist","Smart Kid",1
"Another Scientist","Tour Guide",1
"Another Tour Guide","Chandler",1
"Another Tour Guide","Frank",1
"Another Tour Guide","Joey",1
"Another Tour Guide","Kathy",1
"Another Tour Guide","Monica",1
"Another Tour Guide","New Scene",1
"Another Tour Guide","Older Scientist",1
"Another Tour Guide","Phoebe",1
"Another Tour Guide","Phoebe Sr",1
"Another Tour Guide","Rachel",1
"Another Tour Guide","Ross",1
"Another Tour Guide","Smart Kid",1
"Another Tour Guide","Tour Guide",1
"Answering Machine","Chandler",1
"Answering Machine","Emily",1
"Answering Machine","Gary",1
"Answering Machine","Joey",1
"Answering Machine","Monica",1
"Answering Machine","New Scene",1
"Answering Machine","Phoebe",1
"Answering Machine","Rachel",1
"Answering Machine","Ross",1
"Arthur","Barry",1
"Arthur","Ben",1
"Arthur","Carol",1
"Arthur","Chandler",1
"Arthur","Dr. Drake Remoray",1
"Arthur","Dr. Roger",1
"Arthur","Dr. Wesley",1
"Arthur","Hope",1
"Arthur","Jack",1
"Arthur","Joey",1
"Arthur","Monica",1
"Arthur","New Scene",1
"Arthur","Nurse",1
"Arthur","Phoebe",1
"Arthur","Rachel",1
"Arthur","Ross",1
"Arthur","Susan",1
"Arthur","Woman",1
"Ashley","Bandleader",1
"Ashley","Chandler",1
"Ashley","Dennis Phillips",1
"Ashley","Fat Girl",1
"Ashley","Funny",1
"Ashley","Gert",1
"Ashley","Joey",1
"Ashley","Little Girl",1
"Ashley","Mona",1
"Ashley","Monica",1
"Ashley","Mr. Geller",1
"Ashley","Mrs. Bing",1
"Ashley","New Scene",1
"Ashley","Phoebe",1
"Ashley","Photographer",1
"Ashley","Rachel",1
"Ashley","Ross",1
"Ashley","Second Girl",1
"Ashley","The Girls",1
"Ashley","Waiter",1
"Ashley","Woman",1
"Assistant","Chandler",1
"Assistant","Joey",1
"Assistant","Monica",1
"Assistant","New Scene",1
"Assistant","Phoebe",1
"Assistant","Rachel",1
"Assistant","Ross",1
"Aunt Iris","Chandler",1
"Aunt Iris","Girls",1
"Aunt Iris","Guys",1
"Aunt Iris","Joey",1
"Aunt Iris","Monica",1
"Aunt Iris","New Scene",1
"Aunt Iris","Phoebe",1
"Aunt Iris","Rachel",1
"Aunt Iris","Ross",1
"Aunt Lillian","Chandler",1
"Aunt Lillian","Joey",1
"Aunt Lillian","Lowell",1
"Aunt Lillian","Monica",1
"Aunt Lillian","Mr. Geller",1
"Aunt Lillian","Mrs. Geller",1
"Aunt Lillian","New Scene",1
"Aunt Lillian","Nurse",1
"Aunt Lillian","Phoebe",1
"Aunt Lillian","Rachel",1
"Aunt Lillian","Ross",1
"Aunt Lillian","Shelley",1
"Aunt Lisa","Chandler",1
"Aunt Lisa","Joey",1
"Aunt Lisa","Man",1
"Aunt Lisa","Monica",1
"Aunt Lisa","Mr. Geller",1
"Aunt Lisa","Mrs. Geller",1
"Aunt Lisa","New Scene",1
"Aunt Lisa","Parker",1
"Aunt Lisa","Phoebe",1
"Aunt Lisa","Rachel",1
"Aunt Lisa","Ross",1
"Aunt Lisa","Uncle Dan",1
"Aunt Millie","Chandler",1
"Aunt Millie","David",1
"Aunt Millie","Frannie",1
"Aunt Millie","Joey",1
"Aunt Millie","Monica",1
"Aunt Millie","New Scene",1
"Aunt Millie","Phoebe",1
"Aunt Millie","Rachel",1
"Aunt Millie","Ross",1
"Aunt Millie","The Second Guest",1
"Aunt Millie","The Waiter",1
"Aunt Millie","The Wedding Guest",1
"Aunt Millie","The Woman",1
"Aurora","Chandler",1
"Aurora","Director",1
"Aurora","Joey",1
"Aurora","Monica",1
"Aurora","New Scene",1
"Aurora","Phoebe",1
"Aurora","Rachel",1
"Aurora","Ross",1
"Bandleader","Chandler",1
"Bandleader","Dennis Phillips",1
"Bandleader","Fat Girl",1
"Bandleader","Funny",1
"Bandleader","Gert",1
"Bandleader","Joey",1
"Bandleader","Little Girl",1
"Bandleader","Mona",1
"Bandleader","Monica",1
"Bandleader","Mr. Geller",1
"Bandleader","Mrs. Bing",1
"Bandleader","New Scene",1
"Bandleader","Phoebe",1
"Bandleader","Photographer",1
"Bandleader","Rachel",1
"Bandleader","Ross",1
"Bandleader","Second Girl",1
"Bandleader","The Girls",1
"Bandleader","Waiter",1
"Bandleader","Woman",1
"Bank Officer","Chandler",1
"Bank Officer","Gym Employee",1
"Bank Officer","Interviewer",1
"Bank Officer","Joey",1
"Bank Officer","Monica",1
"Bank Officer","Mr. Simon",1
"Bank Officer","Mr. Treeger",1
"Bank Officer","Mrs. Potter",1
"Bank Officer","Ms. Lambert",1
"Bank Officer","New Scene",1
"Bank Officer","Phoebe",1
"Bank Officer","Rachel",1
"Bank Officer","Rick",1
"Bank Officer","Ross",1
"Bank Officer","Woman",1
"Barry","Ben",1
"Barry","Bernice",2
"Barry","Best Man",1
"Barry","Carol",2
"Barry","Chandler",5
"Barry","Danielle",1
"Barry","Dr. Drake Remoray",1
"Barry","Dr. Oberman",1
"Barry","Dr. Roger",1
"Barry","Dr. Wesley",1
"Barry","Hope",1
"Barry","Intercom",1
"Barry","Jack",1
"Barry","Janice",1
"Barry","Joey",5
"Barry","Luisa",1
"Barry","Marsha",1
"Barry","Mindy",2
"Barry","Monica",5
"Barry","Mr. Geller",1
"Barry","Mr. Heckles",1
"Barry","Mr. Wineburg",1
"Barry","Mrs. Geller",1
"Barry","Mrs. Wineburg",1
"Barry","New Scene",5
"Barry","Nurse",1
"Barry","Phoebe",5
"Barry","Rachel",5
"Barry","Richard",1
"Barry","Robbie",1
"Barry","Ross",5
"Barry","Susan",2
"Barry","Wedding Planner",1
"Barry","Woman",1
"Barry","Woman No. 1",1
"Barry","Woman No. 2",1
"Bass Singer","Chandler",1
"Bass Singer","Director",1
"Bass Singer","Gunther",1
"Bass Singer","Jeannine",1
"Bass Singer","Joey",1
"Bass Singer","Julio",1
"Bass Singer","Man",1
"Bass Singer","Mark",1
"Bass Singer","Monica",1
"Bass Singer","New Scene",1
"Bass Singer","Phoebe",1
"Bass Singer","Quartet",1
"Bass Singer","Rachel",1
"Bass Singer","Ross",1
"Bass Singer","The Bass Barber",1
"Bass Singer","Woman",1
"Ben","Carol",4
"Ben","Chandler",10
"Ben","Claudia",1
"Ben","Dina",1
"Ben","Dr. Drake Remoray",1
"Ben","Dr. Roger",1
"Ben","Dr. Wesley",1
"Ben","Elizabeth",1
"Ben","Ernie",1
"Ben","Gary",1
"Ben","Gunther",2
"Ben","Hope",1
"Ben","Jack",1
"Ben","Janice",1
"Ben","Jay Leno",1
"Ben","Joey",10
"Ben","Ken",1
"Ben","Kim",1
"Ben","Kyle",1
"Ben","Maitre D'",1
"Ben","Male Guest",1
"Ben","Monica",10
"Ben","Mr. Zelner",1
"Ben","Nancy",1
"Ben","New Scene",10
"Ben","Nurse",1
"Ben","Others",1
"Ben","Phoebe",10
"Ben","Rachel",10
"Ben","Raymond",1
"Ben","Richard",1
"Ben","Ross",10
"Ben","Salesman",1
"Ben","Susan",2
"Ben","Tag",1
"Ben","The Knocker",1
"Ben","The Man",1
"Ben","The Teacher",1
"Ben","The Woman",1
"Ben","Trudie Styler",1
"Ben","Woman",2
"Benjamin","Chandler",1
"Benjamin","Charlie",1
"Benjamin","Dr. Biely",1
"Benjamin","Dr. Li",1
"Benjamin","Joey",1
"Benjamin","Monica",1
"Benjamin","New Scene",1
"Benjamin","Phoebe",1
"Benjamin","Rachel",1
"Benjamin","Ross",1
"Bernice","Carol",1
"Bernice","Chandler",2
"Bernice","Danielle",1
"Bernice","Dr. Oberman",1
"Bernice","Joey",2
"Bernice","Marsha",1
"Bernice","Mindy",1
"Bernice","Monica",2
"Bernice","Mr. Geller",1
"Bernice","Mrs. Geller",1
"Bernice","New Scene",2
"Bernice","Phoebe",2
"Bernice","Rachel",2
"Bernice","Robbie",1
"Bernice","Ross",2
"Bernice","Susan",1
"Best Man","Chandler",1
"Best Man","Janice",1
"Best Man","Joey",1
"Best Man","Mindy",1
"Best Man","Monica",1
"Best Man","Mr. Wineburg",1
"Best Man","Mrs. Wineburg",1
"Best Man","New Scene",1
"Best Man","Phoebe",1
"Best Man","Rachel",1
"Best Man","Richard",1
"Best Man","Ross",1
"Best Man","Wedding Planner",1
"Big Bully","Chandler",1
"Big Bully","Frank",1
"Big Bully","Gunther",1
"Big Bully","Joey",1
"Big Bully","Little Bully",1
"Big Bully","Monica",1
"Big Bully","Mrs Buffay",1
"Big Bully","New Scene",1
"Big Bully","Phoebe",1
"Big Bully","Rachel",1
"Big Bully","Ross",1
"Big Nosed Rachel","Chandler",1
"Big Nosed Rachel","Fat Monica",1
"Big Nosed Rachel","French Phoebe",1
"Big Nosed Rachel","Joey",1
"Big Nosed Rachel","Monica",1
"Big Nosed Rachel","Mr. Geller",1
"Big Nosed Rachel","Mrs. Bing",1
"Big Nosed Rachel","Mrs. Geller",1
"Big Nosed Rachel","New Scene",1
"Big Nosed Rachel","Past Life Phoebe",1
"Big Nosed Rachel","Phoebe",1
"Big Nosed Rachel","Rachel",1
"Big Nosed Rachel","Ross",1
"Big Nosed Rachel","The Doctor",1
"Big Nosed Rachel","The Housekeeper",1
"Big Nosed Rachel","The Paramedic",1
"Bill","Chandler",2
"Bill","Charlie",1
"Bill","Colleen",1
"Bill","Frank Jr.",1
"Bill","Jo Lynn",1
"Bill","Joey",2
"Bill","Kevin",1
"Bill","Mike",1
"Bill","Monica",2
"Bill","New Scene",2
"Bill","Owen",1
"Bill","Phoebe",2
"Bill","Rachel",2
"Bill","Ross",2
"Bill","Waiter",1
"Billy Crystal","Bonnie",1
"Billy Crystal","Chandler",1
"Billy Crystal","Doug",1
"Billy Crystal","Hoshi",1
"Billy Crystal","Joey",1
"Billy Crystal","Monica",1
"Billy Crystal","New Scene",1
"Billy Crystal","Pete",1
"Billy Crystal","Phil",1
"Billy Crystal","Phoebe",1
"Billy Crystal","Rachel",1
"Billy Crystal","Referee",1
"Billy Crystal","Robin Williams",1
"Billy Crystal","Ross",1
"Billy Crystal","Stevens",1
"Billy Crystal","The Guys",1
"Billy Crystal","Tv Announcer",1
"Bitter Lady","Bitter Woman",1
"Bitter Lady","Chandler",1
"Bitter Lady","Charlie",1
"Bitter Lady","Dirk",1
"Bitter Lady","Gunther",1
"Bitter Lady","Jane",1
"Bitter Lady","Joey",1
"Bitter Lady","Kyle Lowder",1
"Bitter Lady","Matthew Ashford",1
"Bitter Lady","Message",1
"Bitter Lady","Monica",1
"Bitter Lady","New Scene",1
"Bitter Lady","Phoebe",1
"Bitter Lady","Professor Spafford",1
"Bitter Lady","Rache",1
"Bitter Lady","Rachel",1
"Bitter Lady","Ross",1
"Bitter Woman","Chandler",1
"Bitter Woman","Charlie",1
"Bitter Woman","Dirk",1
"Bitter Woman","Gunther",1
"Bitter Woman","Jane",1
"Bitter Woman","Joey",1
"Bitter Woman","Kyle Lowder",1
"Bitter Woman","Matthew Ashford",1
"Bitter Woman","Message",1
"Bitter Woman","Monica",1
"Bitter Woman","New Scene",1
"Bitter Woman","Phoebe",1
"Bitter Woman","Professor Spafford",1
"Bitter Woman","Rache",1
"Bitter Woman","Rachel",1
"Bitter Woman","Ross",1
"Blackjack Dealer","Chandler",1
"Blackjack Dealer","Drunken Gambler",1
"Blackjack Dealer","Guy",1
"Blackjack Dealer","Joey",1
"Blackjack Dealer","Joey's Hand Twin",1
"Blackjack Dealer","Monica",1
"Blackjack Dealer","New Scene",1
"Blackjack Dealer","Phoebe",1
"Blackjack Dealer","Rachel",1
"Blackjack Dealer","Ross",1
"Blackjack Dealer","The Croupier",1
"Blackjack Dealer","The Lurker",1
"Blackjack Dealer","The Security Guard",1
"Blackjack Dealer","The Woman Dealer",1
"Blonde Girl","Chandler",1
"Blonde Girl","Gavin",1
"Blonde Girl","Joey",1
"Blonde Girl","Michelle",1
"Blonde Girl","Mike",1
"Blonde Girl","Molly",1
"Blonde Girl","Monica",1
"Blonde Girl","New Scene",1
"Blonde Girl","Phoebe",1
"Blonde Girl","Rachel",1
"Blonde Girl","Ross",1
"Blonde Girl","Salon Girl",1
"Blonde Girl","Sonia",1
"Blonde Girl","Woman",1
"Bob","Chandler",3
"Bob","Danny",1
"Bob","Danny's Sister",1
"Bob","Director",1
"Bob","Dr. Drake Ramoray",1
"Bob","Estelle",1
"Bob","Guy",1
"Bob","Janice",1
"Bob","Joey",3
"Bob","Joey's Co-Star",1
"Bob","Kash",1
"Bob","Krista",1
"Bob","Mona",1
"Bob","Monica",3
"Bob","Mr. Franklin",1
"Bob","New Scene",3
"Bob","Phoebe",3
"Bob","Rachel",3
"Bob","Ross",3
"Bob","The Man",1
"Bob","Tim",1
"Bob","Woman",1
"Bonnie","Chandler",3
"Bonnie","Doug",1
"Bonnie","Hoshi",1
"Bonnie","Joey",3
"Bonnie","Monica",3
"Bonnie","New Scene",3
