"season","from","to","weight"
1,"Fireman No. 1","Rachel",1
1,"Fireman No. 2","Fireman No. 3",2
1,"Fireman No. 2","Monica",1
1,"Fireman No. 2","Rachel",1
1,"Fireman No. 3","Monica",2
1,"Fireman No. 3","Phoebe",1
1,"Fireman No. 3","Rachel",2
1,"Fran","Jamie",1
1,"Fran","Phoebe",1
1,"Fran","Rachel",1
1,"Frannie","Monica",1
1,"Gerston","Petrie",1
1,"Gerston","Phoebe",1
1,"Gerston","Santos",1
1,"Girl","Joey",1
1,"Girls","Guys",1
1,"Girls","Joey",2
1,"Girls","Monica",2
1,"Girls","Paolo",1
1,"Girls","Phoebe",2
1,"Girls","Rachel",2
1,"Girls","Ross",2
1,"Guy","Joey",1
1,"Guy","Lydia",1
1,"Guy","Monica",2
1,"Guy","Phoebe",2
1,"Guy","Rachel",1
1,"Guy","Ross",1
1,"Guys","Joanne",1
1,"Guys","Joey",4
1,"Guys","Kiki",1
1,"Guys","Leslie",1
1,"Guys","Monica",4
1,"Guys","Phoebe",4
1,"Guys","Rachel",4
1,"Guys","Ross",4
1,"Helen","Nina",2
1,"Helen","Ross",1
1,"Helen","Susan",1
1,"Helen","Teacher",1
1,"Helen","Woman",1
1,"Intercom","Joey",1
1,"Intercom","Luisa",1
1,"Intercom","Monica",2
1,"Intercom","Mr Heckles",1
1,"Intercom","Phoebe",1
1,"Intercom","Rachel",2
1,"Intercom","Ross",1
1,"Intercom","Woman No. 1",1
1,"Intercom","Woman No. 2",1
1,"Jamie","Phoebe",1
1,"Jamie","Rachel",1
1,"Janice","Joey",5
1,"Janice","Lorraine",2
1,"Janice","Max",1
1,"Janice","Monica",2
1,"Janice","Phoebe",4
1,"Janice","Rachel",2
1,"Janice","Ross",1
1,"Janice","Sandy",1
1,"Janitor","Phoebe",1
1,"Janitor","Ross",1
1,"Janitor","Susan",1
1,"Jay Leno","Joey",1
1,"Jay Leno","Monica",1
1,"Jay Leno","Mrs Bing",1
1,"Jay Leno","Paolo",1
1,"Jay Leno","Phoebe",1
1,"Jay Leno","Rachel",1
1,"Jay Leno","Ross",1
1,"Joanne","Joey",1
1,"Joanne","Kiki",2
1,"Joanne","Leslie",2
1,"Joanne","Monica",1
1,"Joanne","Phoebe",1
1,"Joanne","Rachel",2
1,"Joanne","Ross",1
1,"Joey","Kid",1
1,"Joey","Kiki",1
1,"Joey","Leslie",1
1,"Joey","Lorraine",2
1,"Joey","Luisa",1
1,"Joey","Lydia",3
1,"Joey","Max",3
1,"Joey","Melanie",2
1,"Joey","Mindy",1
1,"Joey","Monica",109
1,"Joey","Mr Geller",2
1,"Joey","Mr Heckles",3
1,"Joey","Mr Tribbiani",5
1,"Joey","Mrs Bing",3
1,"Joey","Mrs Geller",3
1,"Joey","Mrs Tribbiani",1
1,"Joey","Nurse",2
1,"Joey","Pa",1
1,"Joey","Paolo",4
1,"Joey","Paul",2
1,"Joey","Phoebe",93
1,"Joey","Rachel",101
1,"Joey","Receptionist",2
1,"Joey","Roger",2
1,"Joey","Ronni",3
1,"Joey","Ross",112
1,"Joey","Sandy",1
1,"Joey","Soothing Male Voice",1
1,"Joey","Susan",2
1,"Joey","Teacher",1
1,"Joey","The Guys",1
1,"Joey","Ursula",1
1,"Joey","Waitress",1
1,"Joey","Woman",1
1,"Joey","Woman No. 1",1
1,"Joey","Woman No. 2",1
1,"Joey","Young Ethan",1
1,"Julie","Man",1
1,"Julie","Rachel",1
1,"Julie","Ross",1
1,"Kid","Receptionist",1
1,"Kid","Ross",1
1,"Kiki","Leslie",2
1,"Kiki","Monica",1
1,"Kiki","Phoebe",1
1,"Kiki","Rachel",2
1,"Kiki","Ross",1
1,"Kristin","Ross",2
1,"Kristin","Susan",1
1,"Leslie","Monica",1
1,"Leslie","Phoebe",1
1,"Leslie","Rachel",2
1,"Leslie","Ross",1
1,"Lizzie","Phoebe",2
1,"Luisa","Monica",1
1,"Luisa","Mr Heckles",1
1,"Luisa","Phoebe",1
1,"Luisa","Rachel",1
1,"Luisa","Ross",1
1,"Luisa","Woman No. 1",1
1,"Luisa","Woman No. 2",1
1,"Lydia","Monica",1
1,"Lydia","Nurse",1
1,"Man","Rachel",2
1,"Man","Ross",2
1,"Marsha","Ross",1
1,"Max","Monica",3
1,"Max","Phoebe",4
1,"Max","Rachel",3
1,"Max","Ross",3
1,"Max","Sandy",1
1,"Melanie","Monica",1
1,"Melanie","Phoebe",1
1,"Melanie","Rachel",1
1,"Melanie","Ross",1
1,"Mindy","Rachel",2
1,"Monica","Mr Geller",4
1,"Monica","Mr Heckles",4
1,"Monica","Mr Tribbiani",3
1,"Monica","Mrs Bing",2
1,"Monica","Mrs Geller",4
1,"Monica","Nurse",2
1,"Monica","Paolo",6
1,"Monica","Paul",4
1,"Monica","Paula",2
1,"Monica","Phoebe",113
1,"Monica","Pizza Guy",1
1,"Monica","Rachel",129
1,"Monica","Roger",2
1,"Monica","Ronni",1
1,"Monica","Ross",99
1,"Monica","Sandy",1
1,"Monica","Steve",1
1,"Monica","Susan",2
1,"Monica","Teacher",2
1,"Monica","The Guys",1
1,"Monica","Ursula",1
1,"Monica","Waitress",1
1,"Monica","Woman",1
1,"Monica","Woman No. 1",1
1,"Monica","Woman No. 2",1
1,"Monica","Young Ethan",3
1,"Mr Douglas","Nina",1
1,"Mr Geller","Mrs Geller",3
1,"Mr Geller","Nurse",1
1,"Mr Geller","Phoebe",2
1,"Mr Geller","Rachel",2
1,"Mr Geller","Ross",3
1,"Mr Heckles","Phoebe",4
1,"Mr Heckles","Rachel",5
1,"Mr Heckles","Ross",2
1,"Mr Heckles","Woman No. 1",1
1,"Mr Heckles","Woman No. 2",1
1,"Mr Tribbiani","Phoebe",2
1,"Mr Tribbiani","Rachel",2
1,"Mr Tribbiani","Roger",1
1,"Mr Tribbiani","Ronni",2
1,"Mr Tribbiani","Ross",1
1,"Mrs Bing","Paolo",1
1,"Mrs Bing","Phoebe",2
1,"Mrs Bing","Rachel",2
1,"Mrs Bing","Ross",3
1,"Mrs Geller","Nurse",1
1,"Mrs Geller","Phoebe",3
1,"Mrs Geller","Rachel",3
1,"Mrs Geller","Ross",6
1,"Mrs Tedlock","Woman",1
1,"Nina","Ross",1
1,"Nina","Susan",1
1,"Nina","Teacher",1
1,"Nina","Woman",1
1,"Nurse","Phoebe",1
1,"Nurse","Rachel",1
1,"Nurse","Ross",2
1,"Nurse","Susan",1
1,"Pa","Phoebe",1
1,"Pa","Rachel",1
1,"Pa","Ross",1
1,"Paolo","Phoebe",6
1,"Paolo","Phoebe's Assistant",1
1,"Paolo","Rachel",7
1,"Paolo","Ross",6
1,"Paul","Phoebe",1
1,"Paul","Rachel",2
1,"Paul","Ross",1
1,"Petrie","Phoebe",1
1,"Petrie","Santos",1
1,"Phoebe","Phoebe's Assistant",1
1,"Phoebe","Pizza Guy",1
1,"Phoebe","Rachel",113
1,"Phoebe","Roger",3
1,"Phoebe","Ross",101
1,"Phoebe","Sandy",1
1,"Phoebe","Santos",1
1,"Phoebe","Soothing Male Voice",1
1,"Phoebe","Steve",2
1,"Phoebe","Susan",8
1,"Phoebe","Teacher",2
1,"Phoebe","The Guys",1
1,"Phoebe","Ursula",1
1,"Phoebe","Waitress",1
1,"Phoebe","Woman",1
1,"Phoebe","Woman No. 1",1
1,"Phoebe","Woman No. 2",1
1,"Pizza Guy","Rachel",1
1,"Priest on Tv","Rachel",1
1,"Rachel","Robbie",2
1,"Rachel","Roger",2
1,"Rachel","Ronni",1
1,"Rachel","Ross",110
1,"Rachel","Sandy",1
1,"Rachel","Soothing Male Voice",1
1,"Rachel","Steve",1
1,"Rachel","Susan",5
1,"Rachel","Teacher",2
1,"Rachel","Terry",1
1,"Rachel","The Guys",1
1,"Rachel","Ursula",1
1,"Rachel","Waitress",1
1,"Rachel","Woman",3
1,"Rachel","Woman No. 1",1
1,"Rachel","Woman No. 2",1
1,"Rachel","Young Ethan",1
1,"Receptionist","Ross",2
1,"Robbie","Ross",1
1,"Robbie","Susan",1
1,"Roger","Ross",2
1,"Ross","Sandy",1
1,"Ross","Soothing Male Voice",1
1,"Ross","Susan",19
1,"Ross","Teacher",3
1,"Ross","The Guys",1
1,"Ross","Ursula",1
1,"Ross","Waitress",1
1,"Ross","Woman",4
1,"Ross","Woman No. 1",1
1,"Ross","Woman No. 2",1
1,"Ross","Young Ethan",1
1,"Soothing Male Voice","Susan",1
1,"Soothing Male Voice","Teacher",1
1,"Susan","Teacher",3
1,"Susan","Woman",1
1,"Teacher","Woman",2
1,"Woman No. 1","Woman No. 2",1
2,"Alison","Chandler",1
2,"Alison","Janice",1
2,"Alison","Joey",1
2,"Alison","Monica",1
2,"Alison","Mr Boyle",1
2,"Alison","Mr Heckles",1
2,"Alison","Mr Treeger",1
2,"Alison","Phoebe",1
2,"Alison","Rachel",1
2,"Alison","Ross",1
2,"Amber","Chandler",2
2,"Amber","Dr Horton",1
2,"Amber","Dr Remore",2
2,"Amber","Intercom",1
2,"Amber","Joey",1
2,"Amber","Monica",2
2,"Amber","Phoebe",1
2,"Amber","Rachel",2
2,"Amber","Ross",2
2,"Annabelle","Customer",1
2,"Annabelle","Guy",1
2,"Annabelle","Hombre Man",3
2,"Annabelle","Joey",3
2,"Annabelle","Store Guy",1
2,"Barry","Best Man",1
2,"Barry","Mindy",1
2,"Barry","Monica",1
2,"Barry","Mr Wineburg",1
2,"Barry","Mrs Wineburg",1
2,"Barry","Rachel",2
2,"Barry","Richard",1
2,"Barry","Ross",2
2,"Ben","Carol",1
2,"Ben","Rachel",1
2,"Ben","Ross",1
2,"Ben","Susan",1
2,"Best Man","Monica",1
2,"Best Man","Rachel",1
2,"Best Man","Richard",1
2,"Best Man","Ross",1
2,"Big Bully","Chandler",4
2,"Big Bully","Gunther",1
2,"Big Bully","Little Bully",4
2,"Big Bully","Ross",4
2,"Boys","Caroline",1
2,"Boys","Chandler",1
2,"Boys","Doctor",1
2,"Boys","Joey",1
2,"Boys","Kid",1
2,"Boys","Monica",1
2,"Boys","Phoebe",1
2,"Boys","Rachel",1
2,"Boys","Ross",1
2,"Boys","Stephanie",1
2,"Boys","Terry",1
2,"Carol","Chandler",4
2,"Carol","Joey",4
2,"Carol","Minister",1
2,"Carol","Monica",5
2,"Carol","Mr a",1
2,"Carol","Mr Green",1
2,"Carol","Mrs Green",1
2,"Carol","Phoebe",3
2,"Carol","Rachel",3
2,"Carol","Ross",7
2,"Carol","Susan",7
2,"Carol","Woman",1
2,"Caroline","Chandler",1
2,"Caroline","Doctor",1
2,"Caroline","Joey",1
2,"Caroline","Kid",1
2,"Caroline","Monica",1
2,"Caroline","Phoebe",1
2,"Caroline","Rachel",1
2,"Caroline","Ross",1
2,"Caroline","Stephanie",1
2,"Caroline","Terry",1
2,"Casting Guy","Joey",1
2,"Chandler","Chip",1
2,"Chandler","Doctor",1
2,"Chandler","Dr Horton",1
2,"Chandler","Dr Remore",2
2,"Chandler","Eddie",13
2,"Chandler","Erica",2
2,"Chandler","Fbob",4
2,"Chandler","Frankie",1
2,"Chandler","Gail",1
2,"Chandler","Gang",2
2,"Chandler","Girl's Voice",1
2,"Chandler","Gunther",3
2,"Chandler","Guy",2
2,"Chandler","Guys",1
2,"Chandler","Intercom",1
2,"Chandler","Jade",1
2,"Chandler","Janice",2
2,"Chandler","Jeannie",1
2,"Chandler","Joey",94
2,"Chandler","Joey on Tv",1
2,"Chandler","Joey's Co-Star",1
2,"Chandler","Julie",10
2,"Chandler","Kid",1
2,"Chandler","Kids",1
2,"Chandler","Little Bully",4
2,"Chandler","Machine",1
2,"Chandler","Minister",1
2,"Chandler","Monica",70
2,"Chandler","Mr a",1
2,"Chandler","Mr Boyle",1
2,"Chandler","Mr Douglas",1
2,"Chandler","Mr Geller",1
2,"Chandler","Mr Green",1
2,"Chandler","Mr Greene",3
2,"Chandler","Mr Heckles",1
2,"Chandler","Mr Treeger",1
2,"Chandler","Mrs Geller",2
2,"Chandler","Mrs Green",1
2,"Chandler","Mrs Greene",3
2,"Chandler","Paulo",2
2,"Chandler","Phoebe",72
2,"Chandler","Rachel",71
2,"Chandler","Rahcel",1
2,"Chandler","Richard",5
2,"Chandler","Rob",3
2,"Chandler","Ross",75
2,"Chandler","Roy",1
2,"Chandler","Russ",4
2,"Chandler","Scott",1
2,"Chandler","Security Guard",2
2,"Chandler","Stephanie",1
2,"Chandler","Steve",1
2,"Chandler","Susan",4
2,"Chandler","Susie",3
2,"Chandler","Terry",1
2,"Chandler","Tilly",1
2,"Chandler","Trainer",1
2,"Chandler","Tv Doctor",1
2,"Chandler","Van Damme",1
2,"Chandler","Waiter",1
2,"Chandler","Waitress",1
2,"Chandler","Woman",1
2,"Chip","Joey",1
2,"Chip","Monica",1
2,"Chip","Mr Geller",1
2,"Chip","Mrs Geller",1
2,"Chip","Phoebe",1
2,"Chip","Rachel",1
2,"Chip","Ross",1
2,"Chip","Roy",1
2,"Customer","Hombre Man",1
2,"Customer","Joey",1
2,"Customer","Store Guy",1
2,"Delivery Guy","Dr Burke",1
2,"Delivery Guy","Joey",1
2,"Delivery Guy","Monica",1
2,"Director","Joey",1
2,"Director","Van Damme",1
2,"Doctor","Joey",1
2,"Doctor","Kid",1
2,"Doctor","Monica",1
2,"Doctor","Phoebe",1
2,"Doctor","Rachel",1
2,"Doctor","Ross",1
2,"Doctor","Stephanie",1
2,"Doctor","Terry",1
2,"Dr Burke","Monica",4
2,"Dr Burke","Phoebe",2
2,"Dr Horton","Dr Remore",1
2,"Dr Horton","Intercom",1
2,"Dr Horton","Monica",1
2,"Dr Horton","Phoebe",1
2,"Dr Horton","Rachel",1
2,"Dr Horton","Ross",1
2,"Dr Remore","Intercom",1
2,"Dr Remore","Joey",1
2,"Dr Remore","Monica",2
2,"Dr Remore","Phoebe",1
2,"Dr Remore","Rachel",2
2,"Dr Remore","Ross",2
2,"Duncan","Phoebe",3
2,"Eddie","Joey",3
2,"Eddie","Monica",1
2,"Eddie","Phoebe",2
2,"Eddie","Rachel",1
2,"Eddie","Tilly",1
2,"Erica","Joey",4
2,"Erica","Joey on Tv",1
2,"Erica","Monica",1
2,"Erica","Rachel",1
2,"Erica","Ross",1
2,"Erica","Tv Doctor",1
2,"Erica","Waiter",1
2,"Ernie","Phoebe",1
2,"Estelle","Joey",1
2,"Estl","Joey",1
2,"Fbob","Gang",1
2,"Fbob","Joey",3
2,"Fbob","Monica",5
2,"Fbob","Phoebe",4
2,"Fbob","Rachel",4
2,"Fbob","Ross",3
2,"Fbob","Russ",2
2,"Fbob","Waiter",1
2,"Frank","Mr Buffay",1
2,"Frank","Phoebe",1
2,"Gail","Phoebe",1
2,"Gang","Gunther",1
2,"Gang","Joey",2
2,"Gang","Monica",2
2,"Gang","Phoebe",2
2,"Gang","Rachel",2
2,"Gang","Ross",2
2,"Girl's Voice","Gunther",1
2,"Girl's Voice","Guy",1
2,"Girl's Voice","Joey",1
2,"Girl's Voice","Monica",1
2,"Girl's Voice","Mr Greene",1
2,"Girl's Voice","Mrs Geller",1
2,"Girl's Voice","Mrs Greene",1
2,"Girl's Voice","Phoebe",1
2,"Girl's Voice","Rachel",1
2,"Girl's Voice","Ross",1
2,"Grandmom","Phoebe",2
2,"Gunther","Guy",1
2,"Gunther","Joey",3
2,"Gunther","Little Bully",1
2,"Gunther","Monica",2
2,"Gunther","Mr Greene",1
2,"Gunther","Mrs Geller",1
2,"Gunther","Mrs Greene",1
2,"Gunther","Phoebe",2
2,"Gunther","Rachel",2
2,"Gunther","Ross",3
2,"Guy","Hombre Man",1
2,"Guy","Joey",2
2,"Guy","Mich",1
2,"Guy","Monica",1
2,"Guy","Mr Greene",1
2,"Guy","Mrs Geller",1
2,"Guy","Mrs Greene",1
2,"Guy","Phoebe",2
2,"Guy","Rachel",3
2,"Guy","Ross",2
2,"Guy","Waiter",1
2,"Guys","Joey",1
2,"Guys","Monica",1
2,"Guys","Mr Greene",1
2,"Guys","Mrs Greene",1
2,"Guys","Phoebe",1
2,"Guys","Rachel",1
2,"Guys","Ross",1
2,"Hombre Man","Joey",3
2,"Hombre Man","Store Guy",1
2,"Intercom","Monica",1
2,"Intercom","Phoebe",1
2,"Intercom","Rachel",1
2,"Intercom","Ross",1
2,"Interviewer","Monica",1
2,"Jade","Joey",1
2,"Jade","Machine",1
2,"Jade","Monica",1
2,"Jade","Phoebe",1
2,"Jade","Rachel",1
2,"Jade","Ross",1
2,"Jade","Steve",1
2,"Jade","Waiter",1
2,"Jade","Waitress",1
2,"Janice","Joey",1
2,"Janice","Monica",1
2,"Janice","Mr Boyle",1
2,"Janice","Mr Heckles",1
2,"Janice","Mr Treeger",1
2,"Janice","Phoebe",2
2,"Janice","Rachel",2
2,"Janice","Ross",2
2,"Janitor","Ross",2
2,"Jeannie","Joey",1
2,"Jeannie","Mr Douglas",1
2,"Joey","Joey on Tv",1
2,"Joey","Joey's Co-Star",1
2,"Joey","Julie",8
2,"Joey","Kid",2
2,"Joey","Machine",1
2,"Joey","Minister",1
2,"Joey","Monica",61
2,"Joey","Mover",1
2,"Joey","Mr a",1
2,"Joey","Mr Boyle",1
2,"Joey","Mr Douglas",1
2,"Joey","Mr Geller",1
2,"Joey","Mr Green",1
2,"Joey","Mr Greene",3
2,"Joey","Mr Heckles",1
2,"Joey","Mr Treeger",1
2,"Joey","Mrs Geller",2
2,"Joey","Mrs Green",1
2,"Joey","Mrs Greene",3
2,"Joey","Paulo",2
2,"Joey","Phoebe",67
2,"Joey","Rachel",62
2,"Joey","Rahcel",1
2,"Joey","Richard",3
2,"Joey","Rob",1
2,"Joey","Ross",65
2,"Joey","Roy",1
2,"Joey","Russ",1
2,"Joey","Scott",1
2,"Joey","Security Guard",1
2,"Joey","Stephanie",1
2,"Joey","Steve",1
2,"Joey","Store Guy",1
2,"Joey","Susan",4
2,"Joey","Susie",2
2,"Joey","Terry",1
2,"Joey","Trainer",1
2,"Joey","Tv Doctor",1
2,"Joey","Van Damme",2
2,"Joey","Waiter",2
2,"Joey","Waitress",1
2,"Joey","Woman",1
2,"Joey on Tv","Monica",1
2,"Joey on Tv","Rachel",1
2,"Joey on Tv","Ross",1
2,"Joey on Tv","Tv Doctor",1
2,"Julie","Monica",7
2,"Julie","Phoebe",8
2,"Julie","Rachel",14
2,"Julie","Rahcel",1
2,"Julie","Ross",11
2,"Julie","Russ",1
2,"Kid","Monica",1
2,"Kid","Phoebe",2
2,"Kid","Rachel",2
2,"Kid","Ross",2
2,"Kid","Stephanie",1
2,"Kid","Terry",1
2,"Kids","Monica",1
2,"Kids","Phoebe",1
2,"Kids","Rachel",1
2,"Kids","Rob",1
2,"Kids","Ross",1
2,"Lipson","Ross",1
2,"Little Bully","Ross",4
2,"Machine","Monica",1
2,"Machine","Phoebe",1
2,"Machine","Rachel",1
2,"Machine","Ross",1
2,"Machine","Steve",1
2,"Machine","Waiter",1
2,"Machine","Waitress",1
2,"Man","Phoebe",1
2,"Man","Rachel",1
2,"Man","Ross",1
2,"Mich","Rachel",2
2,"Mich","Waiter",1
2,"Mindy","Mr Wineburg",1
2,"Mindy","Mrs Wineburg",1
2,"Mindy","Rachel",1
2,"Mindy","Ross",1
2,"Minister","Monica",1
2,"Minister","Mr a",1
2,"Minister","Mr Green",1
2,"Minister","Mrs Green",1
2,"Minister","Phoebe",1
2,"Minister","Rachel",1
2,"Minister","Ross",1
2,"Minister","Susan",1
2,"Minister","Woman",1
2,"Monica","Mr a",1
2,"Monica","Mr Boyle",1
2,"Monica","Mr Geller",8
2,"Monica","Mr Green",1
2,"Monica","Mr Greene",3
2,"Monica","Mr Heckles",1
2,"Monica","Mr Treeger",2
2,"Monica","Mrs Geller",10
2,"Monica","Mrs Green",1
2,"Monica","Mrs Greene",3
2,"Monica","Paulo",2
2,"Monica","Phoebe",79
2,"Monica","Rachel",87
2,"Monica","Radio",1
2,"Monica","Richard",20
2,"Monica","Rob",3
2,"Monica","Ross",75
2,"Monica","Roy",1
2,"Monica","Rtst",3
2,"Monica","Russ",2
2,"Monica","Security Guard",2
2,"Monica","Stephanie",1
2,"Monica","Steve",1
2,"Monica","Susan",5
2,"Monica","Susie",1
2,"Monica","Terry",1
2,"Monica","Trainer",1
2,"Monica","Tv Doctor",1
2,"Monica","Van Damme",3
2,"Monica","Waiter",2
2,"Monica","Waitress",1
2,"Monica","Woman",1
2,"Mover","Ross",1
2,"Mr a","Mr Green",1
2,"Mr a","Mrs Green",1
2,"Mr a","Phoebe",1
2,"Mr a","Rachel",1
2,"Mr a","Ross",1
2,"Mr a","Susan",1
2,"Mr a","Woman",1
2,"Mr Boyle","Mr Heckles",1
2,"Mr Boyle","Mr Treeger",1
2,"Mr Boyle","Phoebe",1
2,"Mr Boyle","Rachel",1
2,"Mr Boyle","Ross",1
2,"Mr Buffay","Phoebe",1
2,"Mr Geller","Mrs Geller",8
2,"Mr Geller","Phoebe",1
2,"Mr Geller","Rachel",2
2,"Mr Geller","Richard",4
2,"Mr Geller","Ross",6
2,"Mr Geller","Roy",1
2,"Mr Green","Mrs Green",1
2,"Mr Green","Phoebe",1
2,"Mr Green","Rachel",1
2,"Mr Green","Ross",1
2,"Mr Green","Susan",1
2,"Mr Green","Woman",1
2,"Mr Greene","Mrs Geller",1
2,"Mr Greene","Mrs Greene",3
2,"Mr Greene","Phoebe",3
2,"Mr Greene","Rachel",2
2,"Mr Greene","Ross",2
2,"Mr Heckles","Mr Treeger",1
2,"Mr Heckles","Phoebe",1
2,"Mr Heckles","Rachel",1
2,"Mr Heckles","Ross",1
2,"Mr Treeger","Phoebe",1
2,"Mr Treeger","Rachel",2
2,"Mr Treeger","Ross",2
2,"Mr Wineburg","Mrs Wineburg",1
2,"Mr Wineburg","Rachel",1
2,"Mr Wineburg","Ross",1
2,"Mrs Geller","Mrs Greene",1
2,"Mrs Geller","Phoebe",2
2,"Mrs Geller","Rachel",3
2,"Mrs Geller","Richard",3
2,"Mrs Geller","Ross",6
2,"Mrs Geller","Roy",1
2,"Mrs Green","Phoebe",1
2,"Mrs Green","Rachel",1
2,"Mrs Green","Ross",1
2,"Mrs Green","Susan",1
